City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
485,Grootfontein,NA,2022-02-01 17:10:35,-19.5667,18.1167,68.47,73,99,12.53
486,Port Hedland,AU,2022-02-01 17:10:36,-20.3167,118.5667,80.65,94,100,4.61
487,Kavaratti,IN,2022-02-01 17:10:37,10.5669,72.642,80.64,69,14,6.46
488,Balkhash,KZ,2022-02-01 17:10:37,46.844,74.9804,9.18,84,19,10.51
489,Pedro Ii,BR,2022-02-01 17:10:38,-4.4247,-41.4586,92.37,26,34,6.76
490,Male,MV,2022-02-01 17:10:39,4.1748,73.5089,82.98,76,48,15.86
491,Kalakamati,BW,2022-02-01 17:10:39,-20.5929,27.3121,74.84,62,87,4.9
492,Jumla,NP,2022-02-01 17:10:40,29.2747,82.1838,31.57,57,2,3.65
493,Praia,CV,2022-02-01 17:10:41,14.9215,-23.5087,81.14,50,96,12.66
494,Manado,ID,2022-02-01 17:10:42,1.487,124.8455,77.77,94,40,1.14
495,Barra Patuca,HN,2022-02-01 17:10:42,15.8,-84.2833,79.29,62,0,5.14
496,Mahebourg,MU,2022-02-01 17:10:43,-20.4081,57.7,80.89,89,75,21.85
497,Bulungu,CD,2022-02-01 17:10:44,-4.55,18.6,79.2,67,24,1.07
498,Belaya Gora,RU,2022-02-01 17:10:44,68.5333,146.4167,-19.66,99,100,3.47
499,Port Moresby,PG,2022-02-01 17:10:45,-9.4431,147.1797,75.2,86,99,6.64
500,Aspindza,GE,2022-02-01 17:10:46,41.5739,43.2483,20.91,86,24,7.63
501,Sao Joao Da Barra,BR,2022-02-01 17:10:46,-21.6403,-41.0511,93.29,80,99,7.09
502,Zalari,RU,2022-02-01 17:11:47,53.5584,102.5065,-4.02,99,99,0.87
503,Kaminoyama,JP,2022-02-01 17:11:48,38.1539,140.2736,28.65,97,99,1.28
504,Bintulu,MY,2022-02-01 17:11:48,3.1667,113.0333,77.88,89,100,5.59
505,Lagoa,PT,2022-02-01 17:11:49,39.05,-27.9833,59.07,78,24,17.85
506,Guerrero Negro,MX,2022-02-01 17:11:50,27.9769,-114.0611,61.66,66,96,11.43
507,Ramnagar,IN,2022-02-01 17:11:51,29.4,79.1167,51.8,63,0,4.32
508,Selikhino,RU,2022-02-01 17:11:51,50.3672,137.4996,-3.6,99,100,3.67
509,Dali,CN,2022-02-01 17:11:52,25.7,100.1833,42.67,69,37,5.41
510,Morondava,MG,2022-02-01 17:07:18,-20.2833,44.2833,83.25,78,51,6.87
511,Hay River,CA,2022-02-01 17:11:53,60.8156,-115.7999,-14.17,97,92,8.88
512,Muros,ES,2022-02-01 17:11:54,42.7762,-9.0603,60.84,58,1,7.34
513,Whakatane,NZ,2022-02-01 17:11:54,-37.9585,176.9854,70.52,81,99,5.99
514,Ascension,US,2022-02-01 17:11:55,30.2169,-90.9001,66.99,84,100,9.22
515,Aguimes,ES,2022-02-01 17:11:56,27.9054,-15.4461,66.67,64,0,2.3
516,Cabedelo,BR,2022-02-01 17:11:56,-6.9811,-34.8339,86.67,64,12,12.24
517,Lata,PT,2022-02-01 17:11:57,40.1629,-8.3327,65.35,52,0,8.77
518,Manggar,ID,2022-02-01 17:11:58,-2.8833,108.2667,78.3,82,90,5.99
519,Bilma,NE,2022-02-01 17:11:58,18.6853,12.9164,63.79,15,0,6.15
520,Dharmadam,IN,2022-02-01 17:11:59,11.7833,75.4333,75.72,83,6,4.83
521,Maues,BR,2022-02-01 17:12:00,-3.3836,-57.7186,84.45,69,93,4.79
522,Altar,MX,2022-02-01 17:12:00,30.7,-111.8167,62.47,22,98,8.61
523,Zhanakorgan,KZ,2022-02-01 17:12:01,43.9098,67.2495,28.42,76,1,7.7
524,Jiuquan,CN,2022-02-01 17:12:02,39.7432,98.5174,21.34,27,100,4.38
525,Soria,ES,2022-02-01 17:12:02,41.6667,-2.6667,48.0,72,18,9.6
526,Harbour Breton,CA,2022-02-01 17:12:03,47.4833,-55.7983,28.0,56,55,18.59
527,Buchanan,LR,2022-02-01 17:12:04,5.8808,-10.0467,87.76,67,68,13.06
528,Suruc,TR,2022-02-01 17:12:04,36.9761,38.425,46.6,79,90,2.71
529,Lulea,SE,2022-02-01 17:12:05,65.5842,22.1547,5.07,92,75,8.05
530,Arroyo,ES,2022-02-01 17:12:06,41.6096,-4.7969,50.04,66,0,1.01
531,Qasigiannguit,GL,2022-02-01 17:12:07,68.8193,-51.1922,3.45,90,100,3.33
532,Teknaf,BD,2022-02-01 17:12:08,20.8624,92.3058,65.64,77,12,5.3
533,Chimore,BO,2022-02-01 17:12:08,-16.9833,-65.1333,86.63,57,88,1.41
534,Bachatskiy,RU,2022-02-01 17:12:09,54.2927,86.1285,4.46,97,96,4.05
535,Grandview,US,2022-02-01 17:12:10,38.8858,-94.533,47.35,67,100,7.0
536,Jacareacanga,BR,2022-02-01 17:12:10,-6.2222,-57.7528,81.61,87,64,1.83
537,Hillsboro,US,2022-02-01 17:12:11,45.5229,-122.9898,39.18,87,100,1.79
538,Bjornevatn,NO,2022-02-01 17:12:12,69.6672,29.9847,10.02,92,100,3.44
539,Murgab,TM,2022-02-01 17:12:13,37.4966,61.9714,52.03,64,100,7.09
540,Fort Nelson,CA,2022-02-01 17:08:13,58.8053,-122.7002,-17.01,76,75,3.44
541,Vanavara,RU,2022-02-01 17:12:14,60.34,102.2797,-2.96,99,100,3.22
542,Worthington,US,2022-02-01 17:12:14,40.0931,-83.018,44.94,55,0,11.5
543,Saint Anthony,US,2022-02-01 17:12:15,45.0205,-93.218,20.1,70,100,8.01
544,Vestmanna,FO,2022-02-01 17:12:16,62.1564,-7.1664,31.12,74,75,21.85
545,Tigil,RU,2022-02-01 17:12:17,57.8,158.6667,9.63,85,100,5.64
546,Riyadh,SA,2022-02-01 17:08:20,24.6877,46.7219,60.94,22,0,13.82
547,Longyearbyen,SJ,2022-02-01 17:12:18,78.2186,15.6401,21.04,63,20,11.5
548,Ukiah,US,2022-02-01 17:12:18,39.1502,-123.2078,52.03,70,0,0.0
549,Zonguldak,TR,2022-02-01 17:12:19,41.25,31.8333,35.26,90,99,5.77
550,Kamina,CD,2022-02-01 17:13:20,-8.7386,24.9906,67.15,92,100,2.64
551,Hessisch Lichtenau,DE,2022-02-01 17:13:20,51.2,9.7167,42.13,88,100,17.43
552,Daru,PG,2022-02-01 17:13:21,-9.0763,143.2092,75.88,90,100,8.72
553,Sola,VU,2022-02-01 17:13:22,-13.8833,167.55,78.96,86,100,17.4
554,Gisborne,NZ,2022-02-01 17:13:23,-38.6533,178.0042,58.95,91,65,6.15
555,Iberia,US,2022-02-01 17:13:23,29.9502,-91.7507,70.99,77,75,17.27
556,Bay Roberts,CA,2022-02-01 17:13:24,47.5999,-53.2648,29.34,50,16,8.99
557,Luza,RU,2022-02-01 17:13:24,60.6308,47.2512,28.69,95,100,8.72
558,Joshimath,IN,2022-02-01 17:13:25,30.5667,79.5667,36.14,38,0,7.18
